Title,Summary,Category
Master of the Universe (Twilight),"Fifty Shades of Grey is a 2011 erotic romance novel by British author E. L. James. It became the first instalment in the Fifty Shades novel series that follows the deepening relationship between a college graduate, Anastasia Steele, and a young business magnate, Christian Grey. It contains explicitly erotic scenes featuring elements of sexual practices involving BDSM (bondage/discipline, dominance/submission, and sadism/masochism).",Fiction
Nazgûl,"The Nazgûl (from Black Speech nazg 'ring', and gûl  'wraith, spirit') – introduced as Black Riders and also called Ringwraiths,  Dark Riders, the Nine Riders, or simply the Nine – are fictional characters in J. R. R. Tolkien's Middle-earth. They were nine Men who had succumbed to Sauron's power through wearing Rings of Power, which gave them immortality but reduced them to invisible wraiths, servants bound to the power of the One Ring and completely under Sauron's control.",Fiction
Process of Elimination,"Super Mystery is a 36-volume series of crossover paperbacks, pairing The Hardy Boys with Nancy Drew. Earlier crossovers include a 1970s TV series, the novelization of one of the TV episodes (The Hardy Boys and Nancy Drew Meet Dracula), two SuperSleuths books (each book containing 7 short stories), Campfire Stories (a book of 7 short stories in celebration of the anniversary of the Campfire organization), and the Be-A-Detective series (6 choose-your-own adventure books).",Fiction
Septima Vector,"The following is a list of characters from the Harry Potter series. Each character appears in at least one Harry Potter-related book or story by J. K. Rowling. These books and stories include the seven original Harry Potter novels (1997–2007), Fantastic Beasts and Where to Find Them (2001), Quidditch Through the Ages (2001), The Tales of Beedle the Bard (2008), Harry Potter and the Cursed Child (2016), Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (2016), Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (2016), Hogwarts: An Incomplete and Unreliable Guide (2016) and the Harry Potter prequel (2008).",Fiction
Barthanes Damodred,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Meg Duncan,"The Meg Duncan books are a series of six juvenile mystery books originally published by Whitman Publishing between 1967 and 1972 and reprinted in 1978. They were written by Holly Beth Walker (a pseudonym) and illustrated by Cliff Schule. The series was developed by editor Dorothy Haas, and first printed under Western Publishing's hardback-imprint formats. They were later reprinted as paperbacks.",Fiction
Niall Brigant,"Niall Brigant is a fictional character from The Southern Vampire Mysteries by author Charlaine Harris. He first appears in From Dead to Worse. He is Sookie and Jason Stackhouse's great-grandfather and Claude and Claudine's grandfather. He is tall and slim, extremely handsome with long pale gold hair. Sookie describes Niall as being a lovely creature and having some age to him.",Fiction
Lock and Key (novel),Lock and Key is a novel written by author Sarah Dessen. It is her eighth published novel. It was published by Viking's Children's Books in 2008.,Fiction
Chalice Corrino,"Dune is an American science fiction media franchise that originated with the 1965 novel Dune by Frank Herbert and has continued to add new publications. Dune is frequently described as the best-selling science fiction novel in history. It won the inaugural Nebula Award for Best Novel and the Hugo Award in 1966 and was later adapted into a 1984 film, a 2000 television miniseries, and a two-part film series with the first film in 2021 and a sequel in 2024. Herbert wrote five sequels, the first two of which were concomitantly adapted as a 2003 miniseries. Dune has also inspired tabletop games and a series of video games. Since 2009, the names of planets from the Dune novels have been adopted for the real-world nomenclature of plains and other features on Saturn's moon Titan.",Fiction
Falathar,"Eärendil (Quenya pronunciation: [ɛ.aˈrɛn.dil]) the Mariner and his wife Elwing are characters in J. R. R. Tolkien's Middle-earth legendarium. They are depicted in The Silmarillion as Half-elven, the children of Men and Elves. He is a great seafarer who, on his brow, carried the Morning Star, a jewel called a Silmaril, across the sky. The jewel had been saved by Elwing from the destruction of the Havens of Sirion. The Morning Star and the Silmarils are elements of the symbolism of light, for divine creativity, continually splintered as history progresses. Tolkien took Eärendil's name from the Old English name Earendel, found in the poem Crist 1, which hailed him as ""brightest of angels""; this was the beginning of Tolkien's Middle-earth mythology. Elwing is the granddaughter of Lúthien and Beren, and is descended from Melian the Maia, while Earendil is the son of Tuor and Idril. Through their progeny, Eärendil and Elwing became the ancestors of the Númenorean, and later Dúnedain, royal bloodline.",Fiction
The Short Second Life of Bree Tanner,"The Short Second Life of Bree Tanner is a novella in the Twilight series by author Stephenie Meyer. It tells the story of a newborn vampire, Bree Tanner, who is featured in the third book of the series, Eclipse (2007). The book is written from the viewpoint of Bree, as opposed to the rest of the series which is predominantly narrated by character Bella Swan. Meyer let director David Slade, screenwriter Melissa Rosenberg, and a few of the actors read a draft of the story during production of the 2010 film The Twilight Saga: Eclipse.",Fiction
Lucha of the Night Forest,Lucha of the Night Forest is a 2023 young adult fantasy novel by Tehlor Kay Mejia.,Fiction
Mulch Diggums,This is a list of characters in the Artemis Fowl novel series by Eoin Colfer.,Fiction
Elves in Middle-earth,"In J. R. R. Tolkien's writings, Elves are the first fictional race to appear in Middle-earth. Unlike Men and Dwarves, Elves  do not die of disease or old age. Should they die in battle or of grief, their souls go to the Halls of Mandos in Aman. After a long life in Middle-earth, Elves yearn for the Earthly Paradise of Valinor, and can sail there from the Grey Havens. They feature in The Hobbit and The Lord of the Rings. Their history is described in detail in The Silmarillion. ",Fiction
The Saint Around the World,"The Saint Around the World is a collection of  six short stories by Leslie Charteris, first published in 1956 by The Crime Club in the United States and by Hodder and Stoughton in the United Kingdom in 1957. This book continues the adventures of Simon Templar, alias The Saint, and is the third of three consecutive books that take a ""travelogue"" approach to the stories, with each taking place in a different exotic locale; Charteris would later return to this theme with The Saint in the Sun.",Fiction
